,County,Year,TotalPop,Employers,Employees,AvgAnnualPay,New Homes Constructed,Avg.Median Home price,EstHouseholds,Net_Migration,Immigration,Domestic_Migration,Interest_Rate
1,Alameda,1991,1284782,35264,589348,29262,226,229890.0,483745.0,3684.0,8600.0,-4916.0,9.34
2,Alameda,1992,1302709,37575,580372,30739,2652,223200.0,485019.0,5100.0,8716.0,-3616.0,8.11
3,Alameda,1993,1318127,38998,581604,31202,3049,217370.0,488485.0,-432.0,9436.0,-9868.0,7.13
4,Alameda,1994,1327526,38190,582410,32175,2617,210010.0,492503.0,-5262.0,7689.0,-12951.0,7.49
5,Alameda,1995,1333031,41139,604087,33263,3515,207880.0,495897.0,-6877.0,6344.0,-13221.0,7.85
6,Alameda,1996,1340509,40636,620381,34505,3179,215490.0,500276.0,-139.0,8681.0,-8820.0,7.74
7,Alameda,1997,1361330,39571,631383,37045,4591,230800.0,504248.0,19939.0,9027.0,10912.0,7.68
8,Alameda,1998,1389000,43683,651492,38809,6022,256770.0,508841.0,13128.0,7267.0,5861.0,7.1
9,Alameda,1999,1412315,44947,672416,41098,5601,289200.0,515597.0,11665.0,5687.0,5978.0,7.25
10,Alameda,2000,1437136,43448,697215,45155,5126,371850.0,522128.0,17918.0,10425.0,7493.0,7.96
11,Alameda,2001,1457185,44645,697181,46489,4071,399520.0,526059.0,4547.0,13735.0,-9188.0,7.03
12,Alameda,2002,1467063,46319,681988,47307,4513,447290.0,527997.0,-9443.0,11178.0,-20621.0,6.51
13,Alameda,2003,1467892,47393,677990,48822,3608,477220.0,530273.0,-13438.0,10248.0,-23686.0,5.73
14,Alameda,2004,1466407,47498,672203,51402,4733,580360.0,532258.0,-13467.0,10647.0,-24114.0,5.74
15,Alameda,2005,1462736,47138,675480,53152,4302,661420.0,534810.0,-16960.0,9524.0,-26484.0,5.9
16,Alameda,2006,1462371,49065,683616,55920,4062,667410.0,537015.0,-6663.0,9773.0,-16436.0,6.6
17,Alameda,2007,1470622,49291,686655,58189,5167,678130.0,538956.0,-460.0,11225.0,-11685.0,6.49
18,Alameda,2008,1484085,52783,683099,58666,4096,475860.0,541927.0,3362.0,11813.0,-8451.0,6.14
19,Alameda,2009,1497799,53000,640949,58863,3008,381400.0,543889.0,73.0,9314.0,-9241.0,5.14
20,Alameda,2010,1510271,54132,630343,61175,879,436433.0,544988.6298,-1280.0,7690.0,-8970.0,4.91
21,Alameda,2011,1525695,55990,634983,62269,1322,398460.0,548670.1145,6688.0,8847.0,-2159.0,4.68
22,Alameda,2012,1543027,54225,658708,63658,2425,433750.0,551709.8313,12792.0,7650.0,5142.0,3.77
23,Alameda,2013,1566339,54891,677978,63533,2474,577960.0,555192.2238,11529.0,7316.0,4213.0,3.98
24,Alameda,2014,1587637,56780,698536,65733,2287,657170.0,558562.207,14192.0,11337.0,2855.0,4.28
25,Alameda,2015,1610765,58771,728995,68791,2427,726000.0,565019.7628,10849.0,11855.0,-1006.0,4.03
26,Alameda,2016,1627865,60608,751599,70563,3274,780000.0,568905.5794,6294.0,12571.0,-6277.0,3.83
28,Contra Costa,1991,814985,21559,289264,28891,4248,22292.0,304816.0,9866.0,3353.0,6513.0,9.34
29,Contra Costa,1992,832229,23509,290580,30769,5168,22039.0,309603.0,9584.0,3673.0,5911.0,8.11
30,Contra Costa,1993,848587,24487,289035,31685,3000,21411.0,315226.0,8709.0,3943.0,4766.0,7.13
31,Contra Costa,1994,860963,23813,289653,32090,3608,20970.0,318790.0,2695.0,3183.0,-488.0,7.49
32,Contra Costa,1995,869176,25605,292247,33003,3155,20512.0,322965.0,879.0,2792.0,-1913.0,7.85
33,Contra Costa,1996,878070,24776,296299,34338,3363,20442.0,326662.0,4516.0,4185.0,331.0,7.74
34,Contra Costa,1997,892630,23672,306701,36192,3703,20928.0,330587.0,12673.0,3732.0,8941.0,7.68
35,Contra Costa,1998,910831,25801,320009,38199,3205,22787.0,334767.0,12111.0,3145.0,8966.0,7.1
36,Contra Costa,1999,928482,26196,329072,40954,3932,24837.0,338502.0,11516.0,2463.0,9053.0,7.25
37,Contra Costa,2000,944953,25324,337924,42914,3588,30182.0,343152.0,12680.0,4271.0,8409.0,7.96
38,Contra Costa,2001,962076,25919,337444,44744,4807,34673.0,345825.0,10328.0,5140.0,5188.0,7.03
39,Contra Costa,2002,974657,26968,340197,46015,4554,37739.0,349191.0,2117.0,4200.0,-2083.0,6.51
40,Contra Costa,2003,984256,27324,335201,46660,5357,40673.0,352298.0,4510.0,4076.0,434.0,5.73
41,Contra Costa,2004,993958,27373,338349,49643,6576,46930.0,356202.0,2180.0,4169.0,-1989.0,5.74
