Year,Households,Jobs,Income,Median Home Price,County
1992,0.015076157911097399,0.01700525935856456,0.05458883541075332,-0.009174721094850069,Solano
1993,0.012223753381309654,-0.00010140033867711562,0.011000156030581909,-0.02840920051699858,Solano
1994,0.012765242237068763,0.05837195387844929,0.03553514931707702,-0.021893510705185526,Solano
1995,0.013259870222546821,-0.02528625497053605,-0.0393084690189649,-0.03475948493439884,Solano
1996,0.010719667190775661,-0.002339618190039916,-0.0013574309649394545,-0.04367332632316856,Solano
1997,0.009277189457223667,0.018534210941195006,0.05301176744727942,0.00806333382202018,Solano
1998,0.014008637991105077,0.0413760411728854,0.03795087408718745,0.07715241419429897,Solano
1999,0.01138459833268679,0.04262118425208561,0.03908609600966484,0.07560926213461139,Solano
2000,0.015679183398695784,0.04496854785537363,0.08015593475361626,0.22142722651101487,Solano
2001,0.011521980393365716,0.035137831362283656,0.06043625542153408,0.21967010944966847,Solano
2002,0.013889841291610416,0.017149635096621152,0.01519584427991405,0.14433771486349856,Solano
2003,0.01367701209889538,0.02145217194130411,0.03420085281576246,0.15109343936381703,Solano
2004,0.009763511008970216,0.001276430434541398,0.0554481346678799,0.2182562527985672,Solano
2005,0.013626318764821121,0.02289103203635956,0.035373673150493,0.2156208978734575,Solano
2006,0.014312306700564159,0.012532414754034882,0.04668106476542366,0.029026197006673415,Solano
2007,0.0031348410085760836,-0.020817406195529187,0.06729645742697321,-0.09578777257749704,Solano
2008,0.004385028260653012,-0.013717881653016462,0.054318457094940875,-0.35733351902142374,Solano
2009,-0.0013182700894439625,-0.037546309489883134,0.04469335454224099,-0.25939034960993934,Solano
2010,-0.0015471087518097448,0.004309883945682325,-0.021443525704739175,0.0325758314639617,Solano
2011,0.015971284384106887,-0.021809098726505827,0.029909450435459117,-0.09625011806933026,Solano
2012,0.006296480267530491,0.01690360174812877,0.033153576599450174,0.04086538461538458,Solano
2013,0.00439386249713225,0.02874996912589234,0.024696874301846083,0.36590019078220704,Solano
2014,0.005316019353633017,0.01778268629004498,0.026599012942738698,0.1789311181357054,Solano
2015,0.005604632428375611,0.029919402398270067,0.032010811854426,0.0881087485190497,Solano
2016,0.009982814222429193,0.03673843334860294,0.023235365648326622,0.1031518624641834,Solano
1992,0.018955344060614943,-0.003616624211630448,0.03988214697467862,0.0548955128885118,Sonoma
1993,0.017631132356560775,0.022250172601185225,0.011538619471933576,-0.015888179395645796,Sonoma
1994,0.011533467423683108,0.004500287536945091,0.02119022489242517,-0.011086701067797522,Sonoma
1995,0.014768436949408548,0.02437108488273787,0.0419780569247894,0.00831783426327748,Sonoma
1996,0.011000390656488834,0.05968936833896543,0.027163131390202988,-0.03996515857969973,Sonoma
1997,0.010359357462233376,0.049446539723423166,0.06815480612093294,0.03394353418370066,Sonoma
